Symbol	Description
ARWR	Arrowhead Research Corp
ASBB	Asb Bancorp Inc
ASBC	Associated Banc-Corp
ASBCW	Associated Banc-Corp
ASBI	Ameriana Bancorp
ASCMA	Ascent Media Corp
ASDR	Velocityshares Emerging Asia Dr
ASEI	American Science and Engineering
ASFI	Asta Funding
ASMI	Asm International N.V.
ASML	Asml Holding N.V.
ASNA	Ascena Retail Group
ASPS	Altisource Portfolio Solutions S.A.
ASPX	Auspex Pharmaceuticals Inc.
ASRV	Ameriserv Financial Inc
ASRVP	Ameriserv Financial Inc
ASTC	Astrotech Corp
ASTE	Astec Industries
ASTI	Ascent Solar Technologies
ASTM	Aastrom Biosciences
ASUR	Asure Software Inc
ASYS	Amtech Systems
ATAI	Ata Inc
ATAX	America First Tax Exempt L.P.
ATEA	Astea International
ATEC	Alphatec Holdings
ATHN	Athenahealth
ATHX	Athersys
ATLC	Atlanticus Holdings Corp
ATLO	Ames National Corp
ATMI	Atmi Inc
ATML	Atmel Corp
ATNI	Atlantic Tele-Network
ATNY	Api Technologies
ATOS	Atossa Genetics Inc
ATRC	Atricure
ATRI	Atrion Corp
ATRM	Aetrium Inc
ATRO	Astronics Corp
ATRS	Antares Pharma
ATSG	Air Transport Services Group Inc
ATTU	Attunity Ltd
ATVI	Activision Blizzard Inc
AUBN	Auburn National Bancorporation
AUDC	Audiocodes Ltd
AUXL	Auxilium Pharmaceuticals
AVAV	Aerovironment
AVEO	Aveo Pharmaceuticals
AVGO	Avago Technologies
AVHI	Av Homes Inc
AVID	Avid Technology
AVNR	Avanir Pharmaceuticals Inc
AVNW	Aviat Networks
AWAY	Homeaway Inc
AWRE	Aware Inc
AXAS	Abraxas Petroleum Corp
AXDX	Accelerate Diagnostics Inc
AXFN	ACWI Ex-US Financials MSCI Ishares
AXGN	Lectec Corp
AXJS	AC Asia Ex Japan Smallcap MSCI Ishares
AXTI	Axt Inc
AZPN	Aspen Technology
